the.data...1.	total.no.trials	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
NC350	NA	9	7	8	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10
NC352	NA	3	3	7	4	8	4	7	6	6	5	4	4	3	3	8	5	4	5	3	6	7	7	5	6	3	5	9	6	7	3	4	5	5	7	5	7	7	5	7	4	3	3	4	4	6	7	5	5	5	8	4	6	5	6	5	5	4	7	7	5	6	9	7	6	5	4	5	5	3	4	2	4	7	2	3	5	5	3	7	6	5	5	7	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8
NC354	NA	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9
NC356	NA	8	8	10	8	9	9	10	10	6	9	9	7	7	7	8	7	9	10	9	6	10	9	10	9	7	10	9	9	8	7	10	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9
NC358	NA	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7
NC360	NA	10	8	8	9	8	9	9	8	9	9	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10	7	9	8	8	10	9	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8
NC362	NA	6	4	6	4	4	7	5	6	5	5	6	5	5	3	3	1	7	4	6	8	7	2	5	4	7	4	5	3	4	3	5	5	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6
NC364	NA	6	6	3	5	4	4	4	2	6	6	6	4	5	5	5	4	6	5	2	3	5	5	2	4	6	3	4	5	5	8	7	4	5	5	7	4	6	7	5	4	7	6	4	5	6	2	2	3	4	3	5	3	7	3	5	3	5	6	3	5	4	5	8	5	8	5	6	5	5	6	4	5	7	5	4	3	4	7	5	8	6	4	7	5	2	7	5	6	4	8	4	3	6	9	8	5	6	7	4	8
NC366	NA	5	4	5	8	5	4	5	3	6	7	7	5	6	3	5	9	6	7	3	4	5	5	7	5	7	7	5	7	4	3	3	4	4	6	7	5	5	5	8	4	6	5	6	5	5	4	7	7	5	6	9	7	6	5	4	5	5	3	4	2	4	7	2	3	5	5	3	7	6	5	5	7	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8	6	7	6	8	7	6	7	5	9	5	6
NC368	NA	9	9	6	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8
ND246	NA	8	9	10	8	7	9	10	9	6	10	9	10	9	7	10	9	9	8	7	10	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9
OH40B	NA	8	10	8	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9
OH43	NA	9	9	9	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10	7	9	8	8	10	9	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10
OH43E	NA	10	10	8	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10	9	9	9	8	8	9	8	9	8	9	6	10	8	6	9	8	9	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10
OH603	NA	8	8	9	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8
OH7B	NA	9	8	9	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9
OS420	NA	9	9	10	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7
PA762	NA	8	8	10	10	9	9	8	7	10	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10
PA875	NA	10	8	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8
PA880	NA	9	9	7	9	8	7	9	10	7	9	8	8	10	9	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7
PA91	NA	9	9	8	10	9	10	9	10	9	9	9	8	8	9	8	9	8	9	6	10	8	6	9	8	9	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9
R168	NA	9	9	10	10	9	9	9	6	7	9	9	8	7	9	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9
R177	NA	8	8	9	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10
R229	NA	8	8	8	9	10	8	10	10	10	7	7	9	9	8	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9
R4	NA	2	3	7	6	5	7	3	7	6	6	2	5	6	4	4	4	3	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5	6	7	5	4	6	6	5	3	7	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5
SA24	NA	8	9	8	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9
SC213R	NA	8	9	10	8	9	7	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6
SC357	NA	6	10	10	8	9	8	9	6	10	8	6	9	8	9	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10
SC55	NA	10	9	10	8	7	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10
SD40	NA	8	9	7	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9
SD44	NA	9	9	7	10	10	10	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9
SG1533	NA	9	7	9	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9
SG18	NA	10	10	9	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7
T232	NA	8	10	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9
T234	NA	9	8	8	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6
T8	NA	10	9	8	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9
TX303	NA	8	9	9	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9
TX601	NA	10	8	7	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9
TZI11	NA	7	8	10	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8
TZI16	NA	9	10	9	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9
TZI18	NA	9	9	8	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9
TZI25	NA	7	9	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9
Tzi9	NA	7	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9
U267Y	NA	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10	6	9	9	7	7	7	8	7
VA102	NA	10	7	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10
VA14	NA	9	10	9	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8	9	9	8	9	9	7	9	9	8	9	9
VA17	NA	9	9	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10
VA22	NA	9	9	9	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9
VA35	NA	9	9	10	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5
VA59	NA	5	8	9	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9
VA85	NA	8	9	6	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10	6	9	9	7	7	7	8	7	9	10	9	6	10	9	10	9	7	10	9
VA99	NA	8	10	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8
VAW6	NA	9	8	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8	9	9	8	9	9	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8
W117HT	NA	9	9	8	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9
W153R	NA	6	5	3	5	4	7	7	4	3	4	6	2	6	5	4	9	6	4	6	6	5	7	6	4	5	7	2	9	7	6	7	5	7	3	9	8	7	3	3	6	7	6	5	5	7	3	5	7	8	6	5	4	4	5	3	8	6	6	4	4	6	4	6	3	3	4	5	3	4	5	3	4	5	9	6	3	5	4	4	4	2	6	6	6	4	5	5	5	4	6	5	2	3	5	5	2	4	6	3	4
W182B	NA	7	10	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9
W22	NA	7	9	9	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10
W64A	NA	7	9	10	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10	6	9	9	7	7	7	8	7	9	10	9	6	10	9	10	9	7	10	9	9	8	7	10	10	7	9	10	8	8	9
WD	NA	6	9	7	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8
WF9	NA	8	9	9	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8	9	9	8	9	9	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10	7	9	8	8	10	9	8	9
YU796_NS	NA	10	7	9	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10	9	9	9	8	8	9	8	9
A214N	NA	8	9	10	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6	7	9	9	8	7	9	8	7
